Specie,CH,PLI,CI,NS,CL,CT,SI,SPI,SGI
Northern.fulmar,0,124000,0,0,0,0,224,700,70000
Glaucous-winged.gull,150,400,150,274,50,300,0,0,0
Black-legged.kittiwake,40000,58000,60000,7550,25000,26500,5000,31000,72000
Red-legged.kittiwake,0,0,0,0,0,0,0,2200,220000
Thick-billed.murre,280000,172000,320000,400,30000,233578,0,110000,1500000
Common.murre,0,0,0,41800,70000,155719,5320,39000,190000
Black.guillemot,200,8000,200,0,170,4,0,0,0
Pigeon.guillemot,0,0,0,0,0,14,0,0,0
Horned.puffin,0,0,0,3186,1450,1494,0,4400,28000
Tufted.puffin,0,0,0,41,20,0,0,1000,6000
Atlantic.puffin,0,0,0,0,0,0,16000,0,0
Pelagic.cormorant,0,0,0,518,78,46,28,0,0
Red-faced.cormorant,0,0,0,0,0,0,0,2500,5000
Shag,0,0,0,0,0,0,30,0,0
Parakeet.auklet,0,0,0,65,0,0,0,34000,150000
Crested.auklet,0,0,0,0,0,0,0,6000,28000
Least.auklet,0,0,0,0,0,0,0,23000,250000
Razorbill,0,0,0,0,0,0,4296,0,0
Manx.shearwater,0,0,0,0,0,0,260000,0,0
Storm.petrel,0,0,0,0,0,0,12920,0,0
Herring.gull,0,0,0,0,0,0,7600,0,0
Great.black-backed.gull,0,0,0,0,0,0,314,0,0
Lesser.black.backed.gull,0,0,0,0,0,0,20000,0,0
